原产地						修格里城						铁盟哨站						7号自由港						澄明数据中心						阿妮塔战备工厂(lv40)						阿妮塔能源研究所						荒原站						曼德矿场						淘金乐园					
城市	商品	价位	时间	趋势	时效	价位	时间	趋势	时效	单票利润	单位利润	价位	时间	趋势	时效	单票利润	单位利润	价位	时间	趋势	时效	单票利润	单位利润	价位	时间	趋势	时效	单票利润	单位利润	价位	时间	趋势	时效	单票利润	单位利润	价位	时间	趋势	时效	单票利润	单位利润	价位	时间	趋势	时效	单票利润	单位利润	价位	时间	趋势	时效	单票利润	单位利润	价位	时间	趋势	时效	单票利润	单位利润
修格里城	发动机	109%	23:03	↑	有效							97%	23:06	↓	有效	3772 	419 	110%	21:27	↑	失效	9793 	1088 	95%	19:16	↓	失效	4011 	446 	96%	13:27	↓	失效	4537 	504 	106%	23:10	↓	有效	11359 	1262 	111%	23:15	↓	有效	9126 	1014 	109%	23:16	↑	有效	8487 	943 	111%	22:11	↑	失效	11137 	1237 
	弹丸加速装置-修城	100%	23:04	↓	有效													83%	22:00	↓	失效	4596 	255 	103%	22:03	↑	失效	11555 	642 	96%	13:16	↓	失效	11271 	626 	110%	23:24	↑	有效	19529 	1085 	101%	23:15	↓	有效	10731 	596 	120%	20:55	↑	失效	18537 	1030 	97%	22:12	↓	失效	11710 	651 
	汽配零件		16:10	↓	失效								0:46	↓	失效		0 		0:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 		18:25	↓	失效	0 	0 	105%	20:21	↓	失效	18958 	790 		0:46	↓	失效	0 	0 
	家电		17:10	↓	失效								0:46	↓	失效		0 		0:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 		18:25	↓	失效	0 	0 	105%	21:21	↓	失效	19158 	912 		0:46	↓	失效	0 	0 
	红茶	109%	23:04	↓	有效							104%	20:12	↓	失效	3930 	136 	113%	22:11	↑	失效	11129 	384 	86%	22:00	↓	失效	2255 	78 	115%	13:30	↑	失效	11633 	401 	103%	22:48	↓	有效	13547 	467 	103%	23:16	↓	有效	6136 	212 	104%	21:58	↓	失效	6394 	220 	99%	22:17	↑	失效	7597 	262 
	沃德烤鸡				失效								0:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 		1:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 		18:25	↓	失效	0 	0 		23:21	↓	有效	0 	0 		0:46	↓	失效	0 	0 
	罐头				失效								0:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 		2:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 		18:25	↓	失效	0 	0 		0:21	↓	失效	0 	0 		0:46	↓	失效	0 	0 
	沃德山泉				失效								0:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 		3:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 		18:25	↓	失效	0 	0 		1:21	↓	失效	0 	0 		0:46	↓	失效	0 	0 
	高档餐具				失效								0:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 		4:46	↓	失效	0 	0 		0:46	↓	失效	0 	0 		18:25	↓	失效	0 	0 		2:21	↓	失效	0 	0 		0:46	↓	失效	0 	0 
	修格里严选礼包	95%	18:35	↓	失效							82%	12:22	↓	失效	0 	180 	103%	14:18	↓	失效	0 	728 	101%	19:48	↓	失效	0 	605 	115%	12:09	↑	失效	0 	962 	113%	23:03	↑	有效	0 	1112 	110%	12:24	↑	失效	0 	773 	100%	18:52	↑	失效	0 	586 	108%	12:34	↑	失效	0 	826 
